"name","category","evas","longitude","latitude"
"Amstetten (Württ)",6,"08000577,08079075",9.872965,48.578328
"Amtshainersdorf",7,"08011039",14.232364,50.966322
"Andernach",3,"08000331",7.404839,50.434542
"Anderten-Misburg",5,"08000578",9.861109,52.369161
"Angermund",6,"08000579",6.781857,51.330748
"Angermünde",3,"08010004",13.996361,53.015221
"Angern-Rogätz",6,"08011042",11.759535,52.338464
"Angersbach",6,"08000580",9.446944,50.6309738
"Angersdorf",6,"08011043",11.903139,51.460407
"Anklam",5,"08011044",13.701827,53.856102
"Annaburg",6,"08011048",13.032757,51.72868
"Annweiler am Trifels",5,"08000582",7.966149,49.205386
"Annweiler-Sarnstall",7,"08005257",7.937192,49.208725
"Anrath",5,"08000584",6.45023,51.285536
"Ansbach",3,"08000009",10.578239,49.298032
"Anwanden",6,"08000588",10.930396,49.411692
"Anzefahr",6,"08000589",8.86017284,50.8453834
"Apolda",4,"08011051",11.526136,51.03094
"Appenweier",4,"08000596",7.97319,48.541461
"Ardey",7,"08000597",7.727176,51.481163
"Arensdorf (b Köthen)",6,"08011053",12.007416,51.709511
"Arenshausen",6,"08011054",9.96855855,51.3750554
"Arfurt (Lahn)",6,"08000599",8.211079,50.406403
"Armsheim",5,"08000602",8.074113,49.808372
"Arnbach",6,"08000603",11.344044,48.34132
"Arnsberg (Westf)",4,"08000605",8.067965,51.405662
"Arnsberg-Neheim-Hüsten",4,"08004228",7.970066,51.438003
"Arnschwang",6,"08000606",12.8116,49.274608
"Arnsdorf (b Dresden)",5,"08010006",13.982212,51.092807
"Arnstadt Hbf",4,"08010007",10.948262,50.841939
"Arnstadt Süd",6,"08011055",10.954958,50.831084
"Arsbeck",7,"08000611",6.20708227,51.1519779
"Artern",6,"08012440",11.310757,51.36324
"Arzberg (Oberfr)",6,"08000613",12.197692,50.054633
"Aschaffenburg Hbf",2,"08000010",9.143697,49.980557
"Aschaffenburg Hochschule",6,"08000618",9.160416,49.974445
"Aschaffenburg Süd",6,"08000619",9.152586,49.968465
"Aschau (Chiemgau)",6,"08000621",12.325564,47.779106
"Ascheberg (Holst)",5,"08000011",10.339481,54.148462
"Ascheberg (Westf)",6,"08000623",7.600749,51.782991
"Aschendorf",6,"08000624",7.337153,53.052179
"Aschersleben Pbf",4,"08010009",11.465689,51.757122
"Ashausen",5,"08000627",10.145564,53.368693
"Asperg",4,"08000630",9.147797,48.907359
"Asselheim",7,"08000625",8.161602,49.57622
"Assenheim (Oberhess)",6,"08000632",8.812462,50.304939
"Assmannshausen",5,"08000635",7.867355,49.985324
"Attendorn",6,"08000638",7.908493,51.124644
"Attendorn Hohen-Hagen",7,"08087039",7.855281,51.090165
"Attilastraße",4,"08089003",13.360951,52.447681
"Au (Sieg)",3,"08000012",7.656537,50.773765
"Aue-Wingeshausen",7,"08000647",8.290085,51.051785
"Auehütte",7,"08011057",10.416666,50.719672
"Auerbach (Vogtl) Hp",7,"08011059",12.379204,50.506955
"Auerbach (Vogtl) ob Bf",7,"08010011",12.382054,50.519136
"Auerbach (Vogtl) unt Bf",7,"08010012",12.391421,50.511722
"Auerbach (b Mosbach)",6,"08000649",9.223276,49.399563
"Auersmacher",6,"08000651",7.044803,49.143343
"Auerstedt",7,"08011060",11.590437,51.10203
"Aufhausen (Württ)",7,"08000655",10.317193,48.85613
"Aufhausen (b Erding)",6,"08000653",11.894375,48.274365
"Auggen",5,"08000657",7.586788,47.789949
"Augsburg Haunstetterstraße",3,"08000658",10.900985,48.355285
"Augsburg Hbf",1,"08000013",10.88557,48.365441
"Augsburg Messe",5,"08000659",10.886086,48.338684
"Augsburg Morellstraße",6,"08000660",10.892948,48.355089
"Augsburg-Hochzoll",3,"08000661",10.943376,48.352977
"Augsburg-Oberhausen",4,"08000662",10.872533,48.380772
